SMILES,delta_d,delta_p,delta_h,sol_param
Oc1c(Cl)cccc1Cl,20.1,7.5,10.9,24.06387334
Oc1ccc(Cl)cc1Cl,20,7.2,13.1,24.96898076
N#CCc1ccc(Cl)c(Cl)c1,20.5,10.8,4.4,23.58495283
CCC(Cl)Cl,16.1,7.8,3.5,18.22909762
OCC(Cl)CCl,17.5,9.2,14.6,24.57742867
C=C(Cl)CCl,16.2,7.8,3,18.22854904
CC=C(Cl)Cl,16.9,6.7,2.9,18.40950841
CC(Cl)=CCl,17,8.5,2.9,19.22654415
FC(F)(Cl)C(F)(F)Cl,12.6,1.8,0,12.72792206
Cc1ccc(Cl)c(Cl)c1,19.8,9.8,2.5,22.23353323
CCOC(Cl)=CCl,16.9,10.5,6,20.78124154
OCCNCCO,17.2,10.8,21.2,29.35847407
CCOC(C)OCC,15,3.4,4,15.89213642
CCOC(C)OCC,15.2,5.4,5.3,16.97910481
CCOC1CCC(OCC)O1,16.6,6.4,7.3,19.23044461
CCN(CC)C(C)=O,16.4,11.3,7.5,21.28144732
CCNCC,14.9,2.3,6.1,16.2637634
CCNCC,16,20.3,18.4,31.72774811
CCc1ccc(CC)cc1,18,0,0.6,18.00999722
CCc1ccccc1CC,17.7,0.1,1,17.72850812
CCOC(=O)OCC,15.1,6.3,3.5,16.73170643
CCN(CC)CCO,16,20.3,18.4,31.72774811
CCOCC,14.5,2.9,5.1,15.64193083
CCN(C=O)CC,16.4,11.4,9.2,21.98999773
CCC(=O)CC,15.8,7.6,4.7,18.15185941
CCOC(=O)CC(=O)OCC,16.1,7.7,8.3,19.68222548
CCOC(=O)C(=O)OCC,16.2,8,8.8,20.09676591
CCOC(=O)c1ccccc1C(=O)OCC,17.6,9.6,4.5,20.5467759
CCOS(=O)(=O)OCC,15.7,14.7,7.1,22.64928255
CCSCC,16.8,3.1,2,17.2002907
CCN(CC)CCO,14.9,5.8,12,19.99124809
CCSSCC,16.7,6.7,5.7,18.87511589
OCCOCCO,16.6,12,20.7,29.12129805
CCCCOCCOCCOC(C)=O,16,4.1,8.2,18.44044468
CCOCCOCCOCC,15.8,5.9,5.6,17.77104386
