SMILES,delta_d,delta_p,delta_h,sol_param
Cc1c[nH]c2ccccc12,20,7.1,6.2,22.10995251
NCCCCNCCCN,16.7,11.2,12,23.41644721
CCCCCCCCCCCCCCCCCC(=O)O,16.3,3.3,5.5,17.51656359
C=Cc1ccccc1,18.6,1,4.1,19.07275544
c1ccc(C2CO2)cc1,19.4,5.8,6.6,21.29694814
O=CCCC=O,16.8,9.8,10.5,22.10271477
O=C1CCC(=O)O1,18.6,19.2,16.6,31.46680791
N#CCCC#N,17.9,16.2,7.9,25.40196843
Nc1ccc(S(N)(=O)=O)cc1,20,19.5,10.7,29.91220487
O=S1(=O)CCCC1,20.3,18.2,10.9,29.36222062
N#CSC#N,18.1,13.5,0,22.58007972
O=S=O,15.8,8.4,10,20.49878045
O=S(=O)(Cl)Cl,17.6,7.2,0,19.01578292
O=C(O)c1ccc(C(=O)O)cc1,18.8,6.1,10.7,22.4753198
Cc1ccc(O)c(C(C)(C)C)c1,17.3,3.7,10.5,20.57255453
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,20.2,9.1,13.8,26.10153252
BrC(Br)C(Br)Br,22.6,5.1,8.2,24.5766149
Clc1cc(Cl)c(Cl)cc1Cl,21.2,10.7,3.4,23.98937265
O=C1C(Cl)(Cl)CCCC1(Cl)Cl,19.5,14,6.3,24.81813853
ClC(Cl)C(Cl)Cl,18.8,5.1,5.3,20.18761997
ClCC(Cl)(Cl)Cl,18,4.4,4.2,19
ClC(Cl)=C(Cl)Cl,18.3,5.7,0,19.16715941
CC(Cl)(Cl)C(Cl)Cl,17.9,6.7,3.3,19.39561806
CCCCCCCCCCCCCC,16.2,0,0,16.2
C=CCCCCCCCCCCCC,16.1,0.5,1.9,16.21943279
CCO[Si](OCC)(OCC)OCC,13.9,4.3,0.6,14.56228004
C1CCOC1,16.8,5.7,8,19.46098661
OCC1CCCO1,17.8,8.2,10.2,22.09343794
c1ccc2c(c1)CCCC2,19.6,2,2.9,19.91406538
C1CCOCC1,16.4,6.3,6,18.56475155
C1CCSCC1,18.5,6.3,8.9,21.47440337
COC(CC(OC)OC)OC,15,7.1,6.8,17.93460342
Cc1ccc(C)c(C)c1C,18.8,0.5,0.5,18.81329317
Cc1cc(C)c(C)c(C)c1,18.6,0.5,0.5,18.61343601
C1CCSC1,18.6,6.7,9.1,21.7637313
O=S1CCCC1,18.2,11,9.1,23.13114783
CN(C)C(=O)N(C)C,16.7,8.2,11,21.61319042
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],15.5,9.9,7.5,19.8622758
CCSC,16.2,5.9,5.3,18.03718382
C1CS1,19.3,9.1,5,21.91574776
c1cscn1,20.5,18.8,10.8,29.83839808
CC(N)=S,17.5,20.6,20.2,33.74388834
CC(=O)S,17,6.7,8.9,20.32486162
O=C1CCCS1,19,6.9,6.2,21.14355694
N#CS,16.8,8.9,10.9,21.91483516
O=C(O)CS,16,8.6,14.8,23.43074903
O=S(Cl)Cl,16.9,6.2,5.9,18.9436005
c1ccsc1,18.9,2.4,7.8,20.58664616
Sc1ccccc1,20,4.5,10.3,22.94210104
NC(N)=S,20,21.7,14.8,33.0140879
C1CSCCO1,19,6.6,7.7,21.53717716
Cc1ccc(C(C)C)c(O)c1,19,4.5,10.8,22.31344886
Cc1ccccc1,18,1.4,2,18.16480113
Cc1ccccc1N,19.4,5.8,9.4,22.32397814
Cc1ccc(N=C=O)cc1N=C=O,19.3,7.9,6.1,21.72809242
CC(=O)OCC(COC(C)=O)OC(C)=O,16.5,4.5,9.1,19.37291924
CCCCOB(OCCCC)OCCCC,16.7,1.8,4.6,17.41522323
CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,16.6,3.8,10.1,19.79924241
CCCCOP(=O)(OCCCC)OCCCC,16.3,6.3,4.3,17.99638853
c1cn[nH]n1,20.7,8.8,15,27.03571712
Oc1c(Br)cc(Br)cc1Br,20.6,10.2,14.1,26.96683148
BrC=C(Br)Br,18.3,9.4,8,22.07374005
C=CC(Cl)(Cl)Cl,17.7,15.5,3.4,23.77183207
CC(Cl)=C(Cl)Cl,17.7,15.7,3.4,23.90271951
ClC=C(Cl)CCl,17.8,15.7,3.4,23.97686385
O=C(O)C(Cl)(Cl)Cl,18.3,5.8,11.4,22.32688962
N#CC(Cl)(Cl)Cl,16.4,7.4,6.1,18.99815781
COc1c(Cl)cc(Cl)cc1Cl,21,3.9,7,22.47687701
Clc1ccc(Cl)c(Cl)c1,20.2,6,3.2,21.31384527
CC(Cl)(Cl)Cl,16.8,4.3,2,17.45651741
ClCC(Cl)Cl,18.2,5.3,6.8,20.13876858
ClC=C(Cl)Cl,18,3.1,5.3,19.01841213
FC(Cl)(Cl)Cl,15.3,2,0,15.43016526
Oc1c(Cl)cc(Cl)cc1Cl,20.3,5.1,10.8,23.55291914
ClCC(Cl)CCl,17.8,12.3,3.4,21.90182641
Cl[SiH](Cl)Cl.Cl[SiH](Cl)Cl,14.2,3.6,3.8,15.13406753
Sc1cc(Cl)c(Cl)cc1Cl,21,4.5,9.1,23.32509378
FC(F)(Cl)C(F)(Cl)Cl,14.7,1.6,0,14.78681845
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,20,7.7,10,23.64931289
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,19,12.3,4.5,23.0768282
CC1(C)C2CC3C(C2)C31C,16.9,0,0,16.9
CCCCCCCCCCCCCO,16.2,3.1,9,18.7896248
OCCN(CCO)CCO,17.3,22.4,23.3,36.65978723
OCCN(CCO)CCO,17.2,20.3,18.4,32.34949768
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,16.5,4.9,12,20.98237355
CCN(CC)CC,17.8,0.4,1,17.8325545
OCCOCCOCCO,16,12.5,18.6,27.5356133
COCCOCCOCCO,16.2,7.6,12.5,21.82773465
CCOP(=O)(OCC)OCC,16.7,11.4,9.2,22.21463482
OCC(F)(F)F,15.4,8.3,16.4,23.97936613
O=[N+]([O-])c1ccc(F)c(F)c1F,19.5,7.7,3.5,21.25535227
FC(F)(F)c1ccccc1,17.5,8.8,0,19.58800653
O=C(O)C(F)(F)F,15.6,9.9,11.6,21.81581995
CC(F)(F)F,14.6,10.7,0,18.10110494
FC(F)F,14.4,8.9,6.5,18.13339461
CC(=O)c1ccc(C(F)(F)F)cc1,18.8,6.1,3.5,20.07236907
FC(F)(F)c1cccc(C(F)(F)F)c1,17,6.8,0,18.30956034
CC(C)CCCCCOC(=O)c1ccc(C(=O)OCCCCCC(C)C)c(C(=O)OCCCCCC(C)C)c1,16.6,6,2.5,17.82722637
CN(C)C,14.6,3.4,1.8,15.09834428
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,15.1,6.1,9.8,19.00684087
Cc1cccc(C)c1C,18,1,1,18.05547009
C1CSC1,18.8,7.8,9.4,22.41963425
CC(C)CC(C)(C)C,14.1,0,0,14.1
COP(=O)(OC)OC,16.7,15.9,10.2,25.21388506
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],19.5,3.7,4.5,20.35165841
FC(F)(F)c1ccc(I)c(CBr)c1,16.2,5.9,4.2,17.74514018
C1OCOCO1,18.7,9.2,8.6,22.54528776
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,20.1,6.4,6.8,22.16325788
CCCCCCCCCCC,16,0,0,16
NC(N)=O,20.9,18.7,26.4,38.51571108
CCCCC#N,15.3,11,4.8,19.44556505
COc1cc(C=O)ccc1O,19.4,9.8,11.2,24.45076686
C=COCCCl,16.3,6.7,5.8,18.55316685
C=COC(C)=O,16,7.2,5.9,18.51080765
C=CCC(=O)O,16.8,5.2,12.3,21.46089467
C#CC=C,15.1,1.7,12,19.36233457
C=CCOC=C,14.9,6.5,5.3,17.09824552
C=CN,15.7,7.2,11.8,20.91817392
C=CBr,15.9,6.3,5.4,17.93488221
C=COCCCC,15.2,4.1,5.1,16.54871596
C=COC(=O)CCC,15.6,3.9,6.9,17.49799989
C=COCCOCCO,16.3,7.5,13.8,22.63581233
C=CCl,16,6.5,2.4,17.43588254
C=COC(=O)C=CC,15.9,5,9,18.94228075
C=COC=C,14.8,4.2,5.8,16.44141113
C=COCCOCCOCCO,15.9,6,6.6,18.23101753
C=COCC,14.5,4.9,6,16.43958637
C=COC=O,15.3,6.5,9.7,19.24655813
C=CI,17.1,5.5,7.3,19.38943011
C=COCC(C)C,15.1,4.1,5.1,16.45691344
C=COC(C)C,14.7,3.5,5.2,15.98061325
C=COC(=O)CC,15.6,8,4.7,18.15075756
C=Cc1ccncc1,18.1,7.2,6.8,20.6322563
C=CN1CCCC1=O,16.4,9.3,5.9,19.75499937
C=C[SiH3],15.5,2.6,4,16.21758305
C=Cc1ccccc1C,18.6,1,3.8,19.0105234
C=C[Si](C)(C)C,14.5,1,2.5,14.7478812
O=c1occo1,17.3,18.1,9.6,26.81529414
O,15.5,16,42.3,47.80732161
Cc1ccccc1C,17.6,1,3.1,17.89888265
