SMILES,delta_d,delta_p,delta_h,canon_SMILES
C1=CC(=CC=C1S)Cl,20.8,8.6,10.6,Sc1ccc(Cl)cc1
C1=CC=C(C(=C1)S)Cl,20.2,7,10,Sc1ccccc1Cl
CC1=CC=C(C=C1)Cl,19.1,6.2,2.6,Cc1ccc(Cl)cc1
C1=CC=C(C=C1)C=CC=O,19.4,12.4,6.2,O=CC=Cc1ccccc1
C1=CC=C(C=C1)C=CC(=O)O,19.1,3.9,10.6,O=C(O)C=Cc1ccccc1
C1=CC=C(C=C1)C=CCO,19.1,6,13,OCC=Cc1ccccc1
CC1(C2CCC(O1)(CC2)C)C,16.7,4.6,3.4,CC12CCC(CC1)C(C)(C)O2
CC1=CC(=O)OC1=O,19.2,17,11.2,CC1=CC(=O)OC1=O
COC1=C(C=CC(=C1)C=CCO)O,19,7,16.3,COc1cc(C=CCO)ccc1O
C1=CC=C2C(=C1)C=CC(=O)O2,20,12.5,6.7,O=c1ccc2ccccc2o1
C1=CC(=CC=C1C=CCO)O,19.1,7,17.3,OCC=Cc1ccc(O)cc1
CC1=CC(=CC=C1)O,18,5.1,12.9,Cc1cccc(O)c1
CC=CC=O,16.2,14.9,7.4,CC=CC=O
CC=CC(=O)O,16.8,8.7,12,CC=CC(=O)O
C1C=CC(=O)O1,19,19.8,9.6,O=C1C=CCO1
CC=CC#N,16.4,18.8,5.5,CC=CC#N
C(#N)N,15.5,27.6,16.8,N#CN
C(#N)C#N,15.1,11.8,0,N#CC#N
C(#N)Br,18.3,15.2,0,N#CBr
C(#N)Cl,15.6,14.5,0,N#CCl
C1CC(=O)C1,18.3,11.4,5.2,O=C1CCC1
C1CCCCC(=O)CCCC1,16.8,8,4.1,O=C1CCCCCCCCC1
C1CCCC(=O)CC1,17.2,10.6,4.8,O=C1CCCCCC1
C1CCCCC1,16.8,0,0.2,C1CCCCC1
C1CCC(C(C1)O)O,17.4,9.8,18.3,OC1CCCCC1O
C1CCC(=O)C(=O)C1,18.6,10.3,8,O=C1CCCCC1=O
C1CCC(CC1)O,17.4,4.1,13.5,OC1CCCCC1
C1CCC(=O)CC1,17.8,6.3,5.1,O=C1CCCCC1
C1CCC=CC1,17.2,1,5,C1=CCCCC1
CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,18.3,11,13.8,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
C1CCC(CC1)C2=CC=CC=C2,18.7,0,1,c1ccc(C2CCCCC2)cc1
C1CCC(CC1)N2CCCC2=O,18.2,6.8,6.5,O=C1CCCN1C1CCCCC1
C1CCC(CC1)N,17.2,3.1,6.5,NC1CCCCC1
C1CCC(CC1)Cl,17.3,5.5,2,ClC1CCCCC1
C1CCCC(=O)CCC1,17,9.6,4.5,O=C1CCCCCCC1
C1C=CC=C1,17.2,1.9,6.1,C1=CCC=C1
C1CCCC1,16.4,0,1.8,C1CCCC1
C1CCC(=O)C1,17.9,11.9,5.2,O=C1CCCC1
C1CC=CC1,16.7,3.8,1.7,C1=CCCC1
C1CC(C=C1)O,18.1,7.6,15.6,OC1C=CCC1
C1C=C1,17.2,2.4,2,C1=CC1
C1CC1,17.6,0,0,C1CC1
CC(=O)C1CC1,17,11.1,4.6,CC(=O)C1CC1
C1CC1C#N,18.6,16.2,5.7,N#CC1CC1
CC1(C2CCC1(C(=O)C2)C)C,17.8,9.4,4.7,CC12CCC(CC1=O)C2(C)C
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,20,5.5,3.1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
C1CCC2CCCCC2C1,18.8,0,0,C1CCC2CCCCC2C1
C1CCC2CCCCC2C1,18,0,0,C1CCC2CCCCC2C1
CCCCCCCCCC,15.7,0,0,CCCCCCCCCC
CCCCCCCCCCO,16,4.7,10,CCCCCCCCCCO
CCCCCCCCC(C)O,15.8,3.9,10,CCCCCCCCC(C)O
CCCCCCCCC=C,15.8,1,2.2,C=CCCCCCCCC
CCCCOC(=O)C=CC(=O)OCCCC,16.7,3,6.7,CCCCOC(=O)C=CC(=O)OCCCC
CC1=CC=C(C=C1)S(=O)C2=CC=C(C=C2)C,20.3,11.4,3.1,Cc1ccc(S(=O)c2ccc(C)cc2)cc1
C(CCl)OCCCl,18.8,9,5.7,ClCCOCCCl
CCCCC(CC)CNCC(CC)CCCC,15.6,0.8,3.2,CCCCC(CC)CNCC(CC)CCCC
CC(C)CC(CC(C)C)O,14.9,3.1,10.8,CC(C)CC(O)CC(C)C
CC(C)CC(=O)CC(C)C,16,3.7,4.1,CC(C)CC(=O)CC(C)C
CCC(C)S(=O)C(C)CC,16.3,10.5,6.1,CCC(C)S(=O)C(C)CC
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,16.6,6.2,2.6,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C
CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,16.6,6.6,2.9,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
CC(C)OP(=O)(C)OC(C)C,16.4,10,5.7,CC(C)OP(C)(=O)OC(C)C
CC(C)OP(=O)(OC(C)C)F,15.7,10.2,5.9,CC(C)OP(=O)(F)OC(C)C
CCCCOCCCC,15.2,3.4,4.2,CCCCOCCCC
CCCCS(=O)CCCC,16.4,10.5,6.1,CCCCS(=O)CCCC
CCCCCOCCCCC,15.6,3.1,3,CCCCCOCCCCC
CCCOCCC,15.1,4.2,3.7,CCCOCCC
CCCS(=O)CCC,17,13,7.4,CCCS(=O)CCC
CC(=O)CC(C)(C)O,15.8,8.2,10.8,CC(=O)CC(C)(C)O
C=CCNCC=C,15.6,4.5,6.7,C=CCNCC=C
C=CCOCC=C,15.3,4.4,5.3,C=CCOCC=C
C=[N+]=[N-],14.7,6.1,11.3,C=[N+]=[N-]
COC(=O)CCC(=O)OC,16.2,4.7,8.4,COC(=O)CCC(=O)OC
C1=CC=C(C=C1)COCC2=CC=CC=C2,19.6,3.4,5.2,c1ccc(COCc2ccccc2)cc1
C1=CC=C(C=C1)COC(=O)CCCCCCCCC(=O)OCC2=CC=CC=C2,17.8,2.2,5.5,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc1ccccc1
C(Br)Br,17.8,6.4,7,BrCBr
C1=CC=C(C(=C1)Br)Br,20.7,6.5,5.3,Brc1ccccc1Br
CC(Br)Br,18.5,8.4,8.8,CC(Br)Br
C(=CBr)Br,18,4.9,3,BrC=CBr
CCCCNCCCC,15,3,4.3,CCCCNCCCC
CCCCN(CCCC)C=O,15.5,8.9,6.2,CCCCN(C=O)CCCC
CCCCC(=O)CCCC,16,7.7,4.4,CCCCC(=O)CCCC
CCCCOC(=O)C=CC(=O)OCCCC,16.5,6.1,7.2,CCCCOC(=O)C=CC(=O)OCCCC
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,17.8,8.6,4.1,CCCCOC(=O)c1ccccc1C(=O)OCCCC
